symbol,open,high,low,close,volume,timestamp,latency_ms,source,tick_index,interval
NIFTY,20202.972324469134,20249.146087762958,20198.31501088316,20248.753281574365,5362,2026-01-15 10:50:21 IST,241,TradingView (REAL-TIME),1,2s
BANKNIFTY,23666.813180938185,23738.9354077521,23664.39157886807,23732.04895117538,9099,2026-01-15 10:50:21 IST,125,TradingView (REAL-TIME),2,2s
NIFTY,20248.753281574365,20254.301728739243,20205.245644134862,20210.20744537586,5577,2026-01-15 10:50:23 IST,290,TradingView (REAL-TIME),3,2s
BANKNIFTY,23732.04895117538,23735.999007244893,23663.855193965188,23668.548418429764,3297,2026-01-15 10:50:23 IST,210,TradingView (REAL-TIME),4,2s
NIFTY,20210.20744537586,20253.24966866048,20206.693580329025,20251.489949143135,4160,2026-01-15 10:50:25 IST,87,TradingView (REAL-TIME),5,2s
BANKNIFTY,23668.548418429764,23676.8642597812,23653.237972339663,23654.409449972543,1806,2026-01-15 10:50:25 IST,125,TradingView (REAL-TIME),6,2s
NIFTY,20251.489949143135,20258.294376420865,20250.183789749106,20251.95414961679,9576,2026-01-15 10:50:27 IST,289,TradingView (REAL-TIME),7,2s
BANKNIFTY,23654.409449972543,23655.644372436705,23594.364817047983,23604.177269515592,6200,2026-01-15 10:50:27 IST,367,TradingView (REAL-TIME),8,2s
NIFTY,20251.95414961679,20259.73814399316,20219.007857847268,20225.32241488129,5496,2026-01-15 10:50:30 IST,399,TradingView (REAL-TIME),9,2s
BANKNIFTY,23604.177269515592,23613.44456326988,23587.663959804882,23593.999244592833,3918,2026-01-15 10:50:30 IST,195,TradingView (REAL-TIME),10,2s
NIFTY,20225.32241488129,20233.43133515234,20184.595177925316,20187.32323748057,6960,2026-01-15 10:50:32 IST,276,TradingView (REAL-TIME),11,2s
BANKNIFTY,23593.999244592833,23642.552051639646,23586.578257551126,23638.27488960924,4466,2026-01-15 10:50:32 IST,336,TradingView (REAL-TIME),12,2s
NIFTY,20187.32323748057,20209.06459689847,20186.103476999488,20204.24806558196,6882,2026-01-15 10:50:34 IST,315,TradingView (REAL-TIME),13,2s
BANKNIFTY,23638.27488960924,23640.722011541508,23619.613458367287,23623.12765122405,8130,2026-01-15 10:50:34 IST,127,TradingView (REAL-TIME),14,2s
